id;isbn;title;year;author
B-001;978-966-03-1234-5;Кобзар;1840;Тарас Шевченко
B-002;978-617-12-5678-9;Тіні забутих предків;1912;Михайло Коцюбинський
B-003;978-966-97-1111-2;Лісова пісня;1911;Леся Українка
B-004;978-966-97-2222-3;Місто;1928;Валер'ян Підмогильний
B-005;978-617-12-3333-4;Собор;1968;Олесь Гончар
B-006;978-966-03-4444-5;Захар Беркут;1883;Іван Франко
B-007;978-617-12-5555-6;Земля;1902;Ольга Кобилянська
B-008;978-966-97-6666-7;Хіба ревуть воли, як ясла повні?;1875;Панас Мирний
B-009;978-617-12-7777-8;Тигролови;1944;Іван Багряний
B-010;978-966-03-8888-9;Дикий Мед;1963;Леонід Первомайський
B-011;978-617-12-9999-0;Марія;
B-012;;Роксолана;1930;Осип Назарук
B-013;978-966-03-0000-1;Собор;абракадабра;Олесь Гончар
